locationid,location,parameter,value,dateutc,datelocal,unit,latitude,longitude,country,city,ismobile,isanalysis,entity,sensortype
1092284,Wellington Place (elev: 90m),um100,0.0053333333333333,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,48.56666666666667,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0556666666666666,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,10.593333333333332,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,82.35,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,996.374,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,42.13333333333333,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0173333333333333,2023-12-05T16:00:00+00:00,2023-12-05T11:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,4.004333333333333,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.498,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,11.806666666666672,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.039,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.0023333333333333,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,49.56666666666667,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,13.300000000000002,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,40.0,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,996.2050000000002,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,13.892000000000005,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0093333333333333,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,8.773333333333332,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,74.49,2023-12-05T15:00:00+00:00,2023-12-05T10:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um100,0.0024137931034482,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um003,11.845172413793104,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,3.4020689655172407,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm10,11.2896551724138,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,83.68275862068964,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um025,0.0334482758620689,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um050,0.0089655172413793,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pressure,995.8893103448275,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,mb,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um010,0.4044827586206896,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,47.75862068965517,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),humidity,42.0,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,%,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm25,9.786206896551723,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,7.286206896551724,2023-12-05T14:00:00+00:00,2023-12-05T09:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),temperature,47.333333333333336,2023-12-05T13:00:00+00:00,2023-12-05T08:00:00-05:00,c,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),pm1,4.653333333333333,2023-12-05T13:00:00+00:00,2023-12-05T08:00:00-05:00,µg/m³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),voc,72.47000000000001,2023-12-05T13:00:00+00:00,2023-12-05T08:00:00-05:00,iaq,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
1092284,Wellington Place (elev: 90m),um005,2.607333333333333,2023-12-05T13:00:00+00:00,2023-12-05T08:00:00-05:00,particles/cm³,43.645042,-79.39397,NO,,False,,Community Organization,low-cost sensor
